manhanvien,ho,ten,ngaysinh,gioitinh,diachi,sodienthoai,luong,chucvu
1,Tiêu,Trang,10/30/1994,Nữ,Gia Lai,098362440,15000,Nhân viên
2,Tào,Minh Tuấn,08/20/1999,Khác,Quảng Ninh,095850402,9000,Người làm bán thời gian
3,Châu,Nguyễn Thùy,03/06/1988,Nam,Quảng Ninh,099949803,9000,Người làm bán thời gian
4,Tạ,Nguyễn Thùy,07/30/1992,Nam,Tiền Giang,098702213,50000,Chuyên gia nước ngoài
5,Chế,Lê Kim,03/10/1999,Nam,Đà Nẵng,097064024,10000,Công nhân
6,Mã,Dương Quốc,03/12/1988,Nữ,Cần Thơ,097070251,10000,Công nhân
7,Lưu,Lê Thùy,09/30/1985,Nữ,Bình Định,091136479,40000,Kỹ sư
8,Đường,Văn Anh,05/28/1989,Nam,Đắk Nông,095850402,50000,Chuyên gia nước ngoài
9,Thạch,Minh Tuấn,12/07/1997,Nam,Lạng Sơn,096416286,8000,Thực tập sinh
10,Hồ,Quang,11/19/2002,Nam,Quảng Trị,097077246,50000,Chuyên gia nước ngoài
11,Ông,Nam,04/28/1998,Khác,Bến Tre,096886420,50000,Chuyên gia nước ngoài
12,Cao,Lê Hồng,11/17/1987,Nữ,Bà Rịa - Vũng Tàu,094170603,9000,Người làm bán thời gian
13,Trịnh,Nguyễn Thùy,12/06/1995,Nam,Ninh Bình,099290801,9000,Nhân sự thử việc
14,Hoàng,Hùng,06/11/1997,Nữ,Hà Nội,096416286,15000,Nhân viên
15,Sơn,Dương Hùng,12/08/2004,Khác,Bắc Kạn,099407031,50000,Chuyên gia nước ngoài
16,Tào,Nguyễn Lan,01/24/2004,Nữ,Kon Tum,099197630,9000,Người làm bán thời gian
17,Phạm,Trần Đức,09/29/2001,Khác,Phú Yên,099236445,10000,Lao động phổ thông
18,Ngô,Nguyễn Thị,02/16/1999,Nam,Ninh Thuận,091169909,9000,Nhân sự thử việc
19,Đàm,Kim,09/16/2000,Khác,Cà Mau.,098320554,60000,Cán bộ quản lý
20,Tống,Nguyễn Trang,11/09/2001,Nữ,Bạc Liêu,094690456,40000,Kỹ sư
21,Diệp,Văn Đức,10/11/2004,Nam,Kiên Giang,099283121,15000,Nhân viên
22,Chung,Nguyễn Kim,02/01/2002,Nam,Đồng Nai,098128139,9000,Người làm bán thời gian
23,Cao,Quang Minh,02/08/1987,Khác,Khánh Hòa,094991980,15000,Nhân viên
24,Phạm,Nguyễn Đức,09/04/2002,Nữ,Quảng Trị,096967857,9000,Người làm bán thời gian
25,Nhan,Minh,07/31/1996,Khác,Đà Nẵng,092526795,40000,Kỹ sư
26,Lê,Tuấn,06/16/1998,Nam,Bến Tre,098968627,60000,Cán bộ quản lý
27,Diệp,Hoàng An,06/04/1997,Nam,Quảng Nam,091572235,15000,Nhân viên
28,Âu,Đức,10/18/1992,Khác,Bắc Giang,096033689,10000,Công nhân
29,Văn,Nguyễn Kim,06/11/1994,Khác,Bạc Liêu,096905544,9000,Nhân sự thử việc
30,Lưu,Nguyễn Phương,11/14/1991,Khác,Hưng Yên,091188879,9000,Nhân sự thử việc
31,Đoàn,Kim,05/27/2002,Khác,Hà Giang,097088160,8000,Thực tập sinh
32,Trịnh,Lê Phương,06/23/1997,Nữ,Đắk Nông,093597940,15000,Nhân viên
33,Lý,Hoàng,05/15/2000,Nữ,Hải Dương,095593003,50000,Chuyên gia nước ngoài
34,Chu,Thị,11/01/2004,Khác,Cần Thơ,093271788,10000,Công nhân
35,Liêu,Nguyễn Kim,10/16/1998,Nam,Phú Yên,091753147,9000,Nhân sự thử việc
36,Phương,Lê Nam,02/02/1991,Nữ,Sóc Trăng,094447639,8000,Thực tập sinh
37,Ngụy,Phương,10/06/1994,Nữ,Phú Thọ,097160129,10000,Lao động phổ thông
38,Trịnh,Thanh Hương,10/07/2000,Nữ,Quảng Ninh,090788019,10000,Lao động phổ thông
39,Lữ,Phương,03/05/1987,Nam,Hải Dương,092593185,9000,Nhân sự thử việc
40,Chu,Trần Đức,06/08/1988,Nam,Đồng Nai,095088157,9000,Người làm bán thời gian
